                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.00217,                0.01361,                 0.0001,                  2e-05,                    nan,                    nan,                    nan,               0.067508,             0.00032821,             0.00032821
                      2,                    nan,                    nan,                    nan,                0.00217,                0.01361,                 0.0001,                  2e-05,                    nan,                    nan,                    nan,                0.03418,             0.00033408,             0.00033408
                      1,                    nan,                    nan,                    nan,                0.00217,                0.01361,                 0.0001,                  2e-05,                    nan,                    nan,                    nan,               0.067508,             0.00032821,             0.00032821
                      2,                    nan,                    nan,                    nan,                0.00217,                0.01361,                 0.0001,                  2e-05,                    nan,                    nan,                    nan,                0.03418,             0.00033408,             0.00033408
                      1,                    nan,                    nan,                    nan,                0.00511,                 0.0068,                  9e-05,                  2e-05,                    nan,                    nan,                    nan,               0.067508,             0.00032821,             0.00032821
                      2,                    nan,                    nan,                    nan,                0.00511,                 0.0068,                  9e-05,                  2e-05,                    nan,                    nan,                    nan,               0.034442,             0.00059605,             0.00059605
                      3,                    nan,                    nan,                    nan,                0.00511,                 0.0068,                  9e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0013107,             0.00079789,             0.00079789
                      4,                    nan,                    nan,                    nan,                0.00511,                 0.0068,                  9e-05,                  2e-05,                    nan,                    nan,                    nan,               0.000703,               0.000703,               0.000703
                      5,                    nan,                    nan,                    nan,                0.00511,                 0.0068,                  9e-05,                  2e-05,                    nan,                    nan,                    nan,               0.000604,               0.000604,               0.000604
                      6,                    nan,                    nan,                    nan,                0.00511,                 0.0068,                  9e-05,                  2e-05,                    nan,                    nan,                    nan,               0.000505,               0.000505,               0.000505
                      7,                    nan,                    nan,                    nan,                0.00511,                 0.0068,                  9e-05,                  2e-05,                    nan,                    nan,                    nan,               0.000406,               0.000406,               0.000406
                      8,                    nan,                    nan,                    nan,                0.00511,                 0.0068,                  9e-05,                  2e-05,                    nan,                    nan,                    nan,               0.000307,               0.000307,               0.000307
                      9,                    nan,                    nan,                    nan,                0.00511,                 0.0068,                  9e-05,                  2e-05,                    nan,                    nan,                    nan,               0.000208,               0.000208,               0.000208
                     10,                    nan,                    nan,                    nan,                0.00511,                 0.0068,                  9e-05,                  2e-05,                    nan,                    nan,                    nan,               0.000109,               0.000109,               0.000109
                      1,                    nan,                    nan,                    nan,                0.00217,                0.01361,                 0.0001,                  2e-05,                    nan,                    nan,                    nan,               0.067508,             0.00032821,             0.00032821
                      2,                    nan,                    nan,                    nan,                0.00217,                0.01361,                 0.0001,                  2e-05,                    nan,                    nan,                    nan,                0.03418,             0.00033408,             0.00033408
                      1,                    nan,                    nan,                    nan,                0.00217,                0.01361,                 0.0001,                  2e-05,                    nan,                    nan,                    nan,               0.067508,             0.00032821,             0.00032821
                      2,                    nan,                    nan,                    nan,                0.00217,                0.01361,                 0.0001,                  2e-05,                    nan,                    nan,                    nan,                0.03418,             0.00033408,             0.00033408
                      1,                    nan,                    nan,                    nan,                0.00217,                0.01361,                 0.0001,                  2e-05,                    nan,                    nan,                    nan,               0.067508,             0.00032821,             0.00032821
                      2,                    nan,                    nan,                    nan,                0.00217,                0.01361,                 0.0001,                  2e-05,                    nan,                    nan,                    nan,                0.03418,             0.00033408,             0.00033408
